yaw,row,coordinates,x轴夹角,y轴夹角,z轴夹角
1050,100,"[7.35, 8.04, -146.9]",87.13992282409306,86.87117007324701,4.240981273356937
1050,150,"[11.66, 5.98, -150.63]",85.57713279174018,87.73332935066749,4.9719244108679295
1050,200,"[14.5, 4.21, -153.08]",84.59102294535192,88.43166733227162,5.633061365685807
1050,250,"[14.7, 3.82, -153.37]",84.52680312731073,88.57973011340749,5.6555616685323775
1050,300,"[29.5, -5.0, -161.11]",79.62870076175433,88.25146511123832,10.520887456334158
1050,350,"[29.3, -5.0, -160.52]",79.66048763582242,88.24486451408833,10.490660409568282
1050,400,"[64.39, -25.38, -156.8]",67.93361824899249,81.48441263068025,23.816623522391602
1050,450,"[64.58, -25.48, -157.09]",67.91275831261025,81.46823799190504,23.842697280118642
1050,500,"[95.26, -42.92, -122.11]",53.64776638957538,74.51023504814515,40.55170210823735
1050,550,"[100.35, -46.55, -83.4]",43.584896054178145,70.36599764930298,52.986447426608535
1050,600,"[99.37, -46.26, -83.5]",43.84971063687639,70.38346550896418,52.700183982853666
1050,650,"[89.57, -43.02, -44.69]",34.70448266962193,66.74337656604696,65.78399482720702
1050,700,"[89.28, -42.92, -44.88]",34.820863503628594,66.75553832613846,65.62685749129524
1050,750,"[79.48, -40.67, -19.6]",29.597603516545384,63.581008850600526,77.6181996608284
1050,800,"[76.64, -40.47, -9.11]",28.425209617364157,62.329202085354716,83.99952653555412
1050,850,"[76.54, -40.47, -7.06]",28.223719938156815,62.23283193940065,85.33826951228463
1050,900,"[76.73, -42.92, 10.29]",29.90817274417499,60.995975189276805,83.32444206774493
1050,950,"[76.83, -42.83, 10.29]",29.8268360603482,61.07799046545795,83.3277083318676
1050,1000,"[82.22, -48.71, 32.93]",35.569090815512496,61.190741661454474,70.98707839737448
1050,1050,"[82.52, -48.9, 32.93]",35.54288149665531,61.172524632545574,71.05240800601271
1050,1100,"[93.49, -57.53, 67.42]",43.471166924763125,63.475565481008594,58.44269801786043
1050,1150,"[96.33, -60.07, 92.81]",48.932996370511574,65.8165817434424,50.73294292610073
1050,1200,"[96.82, -60.37, 98.69]",50.07439825441866,66.41084126669315,49.14188669188713
1050,1250,"[76.83, -50.67, 155.04]",64.77806337421478,73.67811490477163,30.694044709728345
1050,1300,"[75.85, -50.08, 153.96]",64.89698609339246,73.73327006467377,30.555758534720308
1050,1350,"[26.95, -25.28, 173.95]",81.28334838148209,81.82730807509807,11.992703300271224
1050,1400,"[27.44, -25.48, 172.28]",81.04599379493642,81.6902665233308,12.262732878582497
1050,1450,"[4.21, -14.11, 163.95]",88.53446518954581,85.08269699460544,5.1320802094615185
1050,1500,"[-2.55, -11.27, 159.35]",89.08548591404953,85.95501871797025,4.147408265796504
1050,1550,"[-2.45, -11.07, 159.15]",89.12016776069161,86.02155473774464,4.0748773707457655
1050,1600,"[-7.45, -8.72, 154.15]",87.23748334381153,86.76609354242584,4.2551027024069565
1050,1650,"[-7.45, -8.62, 153.76]",87.23040865130322,86.79502939108923,4.237748768010054
1050,1700,"[-10.78, -6.57, 153.86]",85.99583248660801,87.56086152868743,4.690648792437863
1050,1750,"[-10.49, -6.66, 153.08]",86.08355621228728,87.51464407617549,4.640563103499807
1050,1800,"[-14.6, -3.53, 156.11]",84.65838031549545,88.71025994423096,5.495999491068971
1050,1850,"[-23.03, 1.37, 161.41]",81.88012564093042,89.51857755368435,8.13432602330296
1050,1900,"[-23.42, 1.18, 161.8]",81.76404903649868,89.58646144248594,8.246470827059817
1050,1950,"[-49.88, 17.35, 164.15]",73.18596277564392,84.225304800829,17.83433640824156
1050,2000,"[-50.18, 17.64, 165.33]",73.20612296834591,84.17049096519034,17.834108299141192
1050,2050,"[-92.41, 42.43, 135.93]",57.018264529538094,75.52556820215246,36.799116435258256
1050,2100,"[-91.14, 41.65, 136.12]",57.37038513901653,75.73474063171386,36.358959317702286
1050,2150,"[-101.82, 47.92, 97.71]",46.9055019100332,71.24396654459753,49.03287389891992
1050,2200,"[-95.16, 45.77, 56.94]",37.513763249158245,67.57236442179514,61.66513425331576
1050,2250,"[-94.47, 45.67, 56.45]",37.54638200086164,67.4620345544922,61.72076646330606
1050,2300,"[-81.44, 40.96, 26.46]",30.91160252139916,64.4366482185918,73.8142053472709
1050,2350,"[-81.93, 41.36, 26.46]",30.933772118001002,64.34085473964937,73.91747220593619
1050,2400,"[-75.36, 40.28, 5.68]",28.359689174690775,61.94286241573095,86.19702662729726
1050,2450,"[-73.6, 40.87, -3.63]",29.139006505934653,60.98616498213719,87.53100961904022
